epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.62184,5.57513,9.65823,0.72316,7.91786,3.24892,0.11304,0.05417,0.01195,0.00189,0,0,0,0,4.78913,8.93541,0.69694,4.80404,2.42848,6.921e-05,6.921e-05,6.921e-05
2,7.51593,3.62259,8.8916,0.71506,4.42979,1.67485,0.65482,0.29167,0.32353,0.12673,0.07284,0.1375,0.01421,0.00788,2.77248,8.81185,0.69328,4.91982,1.2922,0.000143217,0.000143217,0.000143217
3,9.27695,2.51316,8.13105,0.70455,2.71725,1.20158,0.40135,0.47768,0.45972,0.19689,0.07286,0.1875,0.01896,0.00461,2.37564,8.62158,0.69001,3.09997,1.10872,0.000214179,0.000214179,0.000214179
4,11.0834,2.00374,7.07913,0.70595,1.97009,1.0656,0.84049,0.58333,0.6627,0.33097,0.05685,0.09583,0.00694,0.00342,1.78631,8.23016,0.68584,1.44069,0.98735,0.000282095,0.000282095,0.000282095
5,12.8384,1.84778,6.52478,0.70581,1.66993,0.98113,0.60162,0.6875,0.59433,0.29376,0.12366,0.15,0.02246,0.00679,1.86311,7.72205,0.68587,1.32126,0.92414,0.000346967,0.000346967,0.000346967
6,14.4823,1.7035,5.78613,0.7149,1.43296,0.95243,0.83327,0.56223,0.68182,0.36044,0.14924,0.19167,0.03666,0.01327,2.04339,7.34005,0.68341,1.20193,0.96596,0.000408793,0.000408793,0.000408793
7,16.1754,1.55989,5.18228,0.71191,1.34642,0.93798,0.60872,0.72917,0.62738,0.36577,0.38579,0.3125,0.14835,0.0283,1.72294,6.74783,0.67963,1.12059,0.93268,0.000467574,0.000467574,0.000467574
8,17.8385,1.50509,4.73738,0.70139,1.25728,0.92696,0.75737,0.74134,0.69692,0.35688,0.72394,0.52083,0.47706,0.11477,1.82369,5.99739,0.67316,1.21954,0.95257,0.000523309,0.000523309,0.000523309
9,19.5547,1.33533,4.21367,0.69466,1.1531,0.9073,0.66338,0.7625,0.74786,0.47443,0.85126,0.575,0.65429,0.24274,1.72465,5.20573,0.66813,1.16128,0.91668,0.000575999,0.000575999,0.000575999
10,21.236,1.40657,3.7751,0.68076,1.21853,0.92599,0.95122,0.78333,0.81358,0.48202,0.88883,0.72917,0.73306,0.34161,1.63917,4.77618,0.65976,0.99172,0.90675,0.000625645,0.000625645,0.000625645
11,22.945,1.28746,3.45491,0.6783,1.04554,0.89538,0.97523,0.82083,0.82665,0.53551,0.95379,0.77401,0.79684,0.40666,1.50668,4.24167,0.6579,0.93076,0.89356,0.000616738,0.000616738,0.000616738
12,24.7478,1.33933,3.22857,0.66718,1.082,0.89769,0.93735,0.81036,0.82368,0.59074,0.94446,0.77936,0.79827,0.47303,1.29131,3.8205,0.64862,0.86606,0.85567,0.000601512,0.000601512,0.000601512
13,26.6561,1.26323,3.13956,0.65604,1.01859,0.87548,0.97122,0.8125,0.82621,0.55439,0.96613,0.80833,0.81848,0.48642,1.50041,3.66722,0.64367,1.12992,0.8906,0.000586286,0.000586286,0.000586286
14,28.733,1.23654,2.82339,0.65238,0.97486,0.88758,0.97769,0.8125,0.82186,0.56685,0.96324,0.8,0.79865,0.55963,1.46983,3.35789,0.63445,0.91457,0.87006,0.000571059,0.000571059,0.000571059
15,30.6263,1.36795,2.7302,0.64494,0.99939,0.91322,0.9867,0.8125,0.82339,0.60212,0.96632,0.79583,0.80322,0.552,1.25435,3.21689,0.6314,0.83838,0.85489,0.000555833,0.000555833,0.000555833
16,32.3784,1.22921,2.42501,0.63821,0.94439,0.88588,0.98989,0.81569,0.82574,0.63133,0.98989,0.81569,0.82574,0.64414,1.12611,2.86635,0.62347,0.84909,0.82724,0.000540607,0.000540607,0.000540607
17,34.1438,1.11934,2.19803,0.62928,0.9054,0.87269,0.98988,0.81553,0.82799,0.58183,0.98483,0.81136,0.8231,0.56107,1.22914,2.94342,0.6194,0.87493,0.84056,0.000525381,0.000525381,0.000525381
18,35.8432,1.19497,1.92571,0.6233,0.88515,0.87985,0.98796,0.8125,0.82576,0.65361,0.98289,0.80833,0.82414,0.64412,0.97497,2.49107,0.60941,0.78048,0.81292,0.000510155,0.000510155,0.000510155
19,37.5317,1.06832,1.88759,0.61325,0.85708,0.8566,0.98849,0.8125,0.82782,0.60944,0.98849,0.8125,0.82395,0.61111,1.14756,2.48799,0.60574,0.79223,0.82732,0.000494928,0.000494928,0.000494928
20,39.2137,0.96823,1.66448,0.60871,0.82614,0.8455,0.98793,0.8125,0.82865,0.66452,0.98793,0.8125,0.82756,0.68789,0.97538,2.2241,0.59441,0.77333,0.80915,0.000479702,0.000479702,0.000479702
